MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION CITY (L/100 km),FUEL CONSUMPTION HWY (L/100 km),FUEL CONSUMPTION COMB (L/100 km),CO2 EMISSIONS 
2016,BMW,M2,SUBCOMPACT,3,6,M6,Z,12.7,9.2,11.1,260
2016,BMW,M235i,SUBCOMPACT,3,6,AS8,Z,11.6,7.7,9.9,232
2016,BMW,M235i,SUBCOMPACT,3,6,M6,Z,11.9,8.6,10.4,245
2016,BMW,M235i CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.6,7.7,9.9,232
2016,BMW,M235i CABRIOLET,SUBCOMPACT,3,6,M6,Z,12.1,8.4,10.5,246
2016,BMW,M235i xDRIVE,SUBCOMPACT,3,6,AS8,Z,12,7.9,10.2,238
2016,BMW,M235i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,12,7.9,10.2,238
2016,BMW,M3,COMPACT,3,6,AM7,Z,14.1,9.7,12.1,284
2016,BMW,M3,COMPACT,3,6,M6,Z,13.7,9,11.6,271
2016,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,AM7,Z,14.2,9.6,12.1,282
2016,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,M6,Z,14.1,9,11.8,278
2016,BMW,M4 COUPE,COMPACT,3,6,AM7,Z,14.1,9.7,12.1,284
2016,BMW,M4 COUPE,COMPACT,3,6,M6,Z,13.7,9,11.6,271
2016,BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,344
2016,BMW,M5,MID-SIZE,4.4,8,M6,Z,16.1,10.9,13.7,321
2016,BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,344
2016,BMW,M6,COMPACT,4.4,8,M6,Z,16.1,10.9,13.7,321
2016,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,344
2016,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.1,10.9,13.7,321
2016,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,344
2016,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.1,10.9,13.7,321
2016,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,10.7,7.4,9.2,215
2016,BMW,X3 xDRIVE28d,SUV - SMALL,2,4,AS8,D,8.6,6.9,7.9,211
2016,BMW,X3 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11.1,8.4,9.9,231
2016,BMW,X3 xDRIVE35i,SUV - SMALL,3,6,AS8,Z,12.7,8.8,10.9,257
2016,BMW,X4 M40i,SUV - SMALL,3,6,AS8,Z,12.8,9.5,11.3,264
2016,BMW,X4 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11.7,8.4,10.2,238
2016,BMW,X4 xDRIVE35i,SUV - SMALL,3,6,AS8,Z,12.7,8.8,10.9,257
2016,BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,343
2016,BMW,X5 xDRIVE35d,SUV - STANDARD,3,6,AS8,D,10,7.6,8.9,233
2016,BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,9.7,11.5,269
2016,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.7,11.4,13.8,322
2016,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,343
2016,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,9.7,11.5,269
2016,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.7,11.4,13.8,322
2016,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,AS8,Z,10.7,7.1,9.1,212
2016,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,10.7,7,9,211
2016,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,13.7,10,12.1,282
2016,BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,13.7,10,12.1,282
2016,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,15.8,10.6,13.4,315
2016,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,16.1,10.8,13.7,323
2016,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,199
2016,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8,9.2,215
2016,BUICK,ENCORE SPORT TOURING,SUV - SMALL,1.4,4,AS6,X,8.5,6.9,7.8,182
2016,BUICK,ENCORE SPORT TOURING AWD,SUV - SMALL,1.4,4,AS6,X,8.9,7.4,8.2,192
2016,BUICK,ENVISION AWD,SUV - SMALL,2,4,A6,Z,11.8,9.1,10.6,248
2016,BUICK,LACROSSE FFV,MID-SIZE,3.6,6,AS6,X,13.7,8.6,11.4,268
2016,BUICK,LACROSSE FFV,MID-SIZE,3.6,6,AS6,E,18.7,12.4,15.8,260
2016,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,193
2016,BUICK,LACROSSE AWD FFV,MID-SIZE,3.6,6,AS6,X,13.8,9,11.7,274
2016,BUICK,LACROSSE AWD FFV,MID-SIZE,3.6,6,AS6,E,18.5,12.5,15.8,263
2016,BUICK,REGAL,MID-SIZE,2,4,AS6,Z,11.4,7.9,9.8,231
2016,BUICK,REGAL,MID-SIZE,2,4,M6,Z,11.6,7.6,9.8,230
2016,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,193
2016,BUICK,REGAL AWD,MID-SIZE,2,4,AS6,Z,12.4,8.7,10.7,252
2016,BUICK,VERANO,COMPACT,2,4,AS6,Z,11.4,7.9,9.8,231
2016,BUICK,VERANO,COMPACT,2,4,M6,Z,11.6,7.6,9.8,230
2016,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.6,224
2016,CADILLAC,ATS,COMPACT,2,4,AS8,Z,10.5,7.6,9.2,215
2016,CADILLAC,ATS,COMPACT,2,4,M6,Z,12,8.1,10.3,240
2016,CADILLAC,ATS,COMPACT,2.5,4,AS8,X,10.6,7.3,9.1,214
2016,CADILLAC,ATS,COMPACT,3.6,6,AS8,X,11.6,7.9,9.9,233
2016,CADILLAC,ATS AWD,COMPACT,2,4,AS8,Z,10.8,7.8,9.4,221
2016,CADILLAC,ATS AWD,COMPACT,3.6,6,AS8,X,12.2,8.5,10.5,247
2016,CADILLAC,ATS-V,COMPACT,3.6,6,AS8,Z,14.7,9.8,12.5,293
2016,CADILLAC,ATS-V,COMPACT,3.6,6,M6,Z,14.2,10.2,12.4,289
2016,CADILLAC,CT6,FULL-SIZE,2,4,AS8,Z,11,7.6,9.5,222
2016,CADILLAC,CT6 AWD,FULL-SIZE,3,6,AS8,Z,13,9,11.2,263
2016,CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS8,X,12.8,8.7,11,257
2016,CADILLAC,CTS,MID-SIZE,2,4,AS8,Z,11,7.6,9.5,221
2016,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,11.6,7.9,9.9,233
2016,CADILLAC,CTS AWD,MID-SIZE,2,4,AS8,Z,11.2,8.1,9.8,229
2016,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS8,X,12.2,8.5,10.5,247
2016,CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,14.7,9.8,12.5,293
2016,CADILLAC,CTS-V,MID-SIZE,6.2,8,AS8,Z,16.6,11.1,14.1,332
2016,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A8,Z,16,11.2,13.9,325
2016,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.2,9.8,12.3,287
2016,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,300
2016,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.3,263
2016,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.9,8.9,11.6,273
2016,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,15,10.2,12.8,302
2016,CHEVROLET,CAMARO,COMPACT,2,4,AS8,Z,10.9,7.5,9.3,218
2016,CHEVROLET,CAMARO,COMPACT,2,4,M6,Z,11.4,7.9,9.8,229
2016,CHEVROLET,CAMARO,COMPACT,3.6,6,AS8,X,12.3,8.5,10.6,248
2016,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,13.2,8.7,11.2,261
2016,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS8,Z,14.2,8.4,11.6,272
2016,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,14.3,9.4,12.1,284
2016,CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2,4,AV,X,9.7,9,9.4,220
2016,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,11.9,8.9,10.5,247
2016,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,12.2,9.1,10.8,253
2016,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4,A6,D,10.8,7.7,9.4,252
